Id,Title,Year,Genres,Runtime,Plot,Original Language,Director,Writer,Main Cast,Rating (RT),Nuni Aprooval,Fun Fact,Seen,PosterFileName
1026,Predestination,2014,Psychological-Thriller,,,,,,,,,,,
1027,The Shinning,1980,Psychological-Thriller Horror,,,,Stanley Kubric,,,,,,,
1028,Split,2016,Psychological-Thriller,,,,,,,,,,,
1029,The one I love,2004,Psychological-Thriller,,A troubled couple vacate to a beautiful getaway but bizarre circumstances further complicate their situation.,English,Charlie McDowell,Justin Lader,Mark Duplass Elisabeth Moss Ted Danson,,,,TRUE,the one i love ver.jpg/the one i love hor.jpg
1030,The Lobster,2015,Thriller,,,,,,,,,,,
1031,Coherence,2013,Psychological-Thriller,,,,,,,,,,,
1032,American Beauty,1999,Drama,,,,,,Kevin Spacey,,,,,
1033,Silver Linings Playbook,2012,Drama,,,English,,,Bradley Cooper Jennifer Lawrence,,,,,
1034,The Great Gatsby,2013,Drama Romance,,,,,,Leonardo DiCaprio,,,,,
1035,The Aviator,2004,Biography Drama,,,,,,Leonardo DiCaprio,,,,,
1036,Caf� Society,2016,Drama Comedy,,,,,,Jesse Eisenberg,,,,,
1037,Hero,2002,,,,,,,,,,,,
1038,One flew over the cuckoo's nest,1975,Drama,,,,,,Jack Nicholson,,,,,
1039,Antes que cante el gallo,2016,,,,,,,,,,,,
1040,El laberinto del fauno,2006,Fantasy Drama,,,Espanol,Guillermo DelToro,,,,,,,
1041,500 Days of Summer,2009,Romance Comedy,,,English,,,Zooey Deschanel Joseph Gordon-Levitt,,,,,
1042,The Curious case of Benjamin Button,2008,Drama,,,English,,,Brad Pitt,,,,,the curious case of benjamin button ver.png
1043,Her,2013,Romance Drama,,,English,,,,,,,,her ver.jpg
1044,The Martian,2015,Sci-Fi Adventure,,,,,,Matt Damon,,,,,
1045,127 Hours,2010,Adventure Biography,,,,,,James Franco,,,,,
1046,Lars and the real girl,2007,Comedy Drama,,,English,,,Ryan Gosling,,,,,
1047,Lion,2016,Biography Drama,,,,,,Dev Patel,,,,,
1048,The Founder,2016,Biography Drama,,,,,,Michael Keaton,,,,,
1049,La La Land,2016,Musical Drama,,,,,,Ryan Gosling Emma Stone,,,,,
1050,Django Unchained,2012,Comedy Western Adventure,,With the help of a German bounty hunter a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.,English,Quentin Tarantino,,Jamie Foxx Leonardo DiCaprio Christoph Waltz,,,,TRUE,django ver.jpg/django hor.png
1051,The Departed,2006,Action Crime,,,,,,Leonardo DiCaprio Matt Damon,,,,,
1052,Kill Bill (Vol I and II),2003-2004,Action Gore,,,,Quentin Tarantino,,Uma Thurman,,,,,
1053,Inglourious Basterds,2009,Adventure War,,,English,Quentin Tarantino,,Brad Pitt,,,,,
1054,V for Vendetta,2005,Action Drama,,,,,,Natalie Portman,,,,,
1055,Watchmen,2009,Action Superhero,,,,,,,,,,,
1056,Macbeth,2015,War Drama History,,,,,,,,,,,
1057,John Wick (I and II),2014-2017,Action Crime,,,,,,Keanu Reeves,,,,,
1058,Lucky number slevin,2016,Crime Drama ,,,,,,,,,,,
1059,Logan,2017,Action Superhero,,,,,,Hugh Jackman,,,,,
1060,Kubo and the two strings,2016,Animated Adventure,,,,,,,,,,,
1061,Interstellar,2014,Sci-Fi,,,,,,,,,,,
1062,2001: Space Odyssey,1968,Sci-Fi,,,,,,,,,,,
1063,Ex-Machina,2014,Sci-Fi,,,,,,,,,,,
1064,Midnight Special,2016,Sci-Fi,,,,,,,,,,,
1065,Moon,2009,Sci-Fi,,,,,,,,,,,
1066,Children of Men,2006,Sci-Fi,,,,,,,,,,,
1067,Mr. Nobody,2009,Sci-Fi,,,,,,Jared Leto,,,,,
1068,Swiss Army Man,2016,Comedy Adventure,,,,,,Daniel Radcliffe,,,,,
1069,The Mist,2007,Horror Sci-Fi,,,,,,,,,,,
1070,Teeth,2007,Comedy Horror,,,,,,,,,,,
1071,The Ruins,2008,Horror,,,,,,,,,,,
1072,The Bay,2010,Horror Sci-Fi,,,,,,,,,,,
1073,The Fountain,2006,Sci-Fi Drama,,,,,,Hugh Jackman,,,,,
1074,Brazil,1985,Sci-Fi Drama,,,,,,,,,,,
1075,Jacob's Ladder,,,,,,,,,,,,,
1076,American History X,,,,,,,,,,,,,
1077,The Jacket,,,,,,,,,,,,,
1078,Vertigo,,,,,,,,,,,,,
1079,Apocalipto,,,,,,,,,,,,,
1080,A Monster Calls,,,,,,,,,,,,,
1081,El amor en los tiempos de colera,,,,,,,,,,,,,
1082,Cloud Atlas,,,,,,,,,,,,,
